,Monday,Tuesday,Wednesday,Thursday,Friday
2023-07-10,-16,-16,-6,-9,-19
2023-07-17,-21,-25,-20,-21,-15
2023-07-24,-13,-13,-12,-18,-23
2023-07-31,-35,-36,-35,-20,-23
2023-08-07,-38,-44,-40,-30,-30
2023-08-14,-32,-30,-35,-31,-34
2023-08-21,-39,-49,-43,-31,-21
2023-08-28,-20,-25,-26,-16,-15
2023-09-04,-17,-21,-17,-17,-19
2023-09-11,-28,-28,-34,-42,-47
2023-09-18,-46,-46,-48,-42,-38
2023-09-25,-42,-36,-40,-36,-30
2023-10-02,-38,-40,-53,-49,-57
2023-10-09,-52,-51,-55,-43,-46
2023-10-16,-33,-38,-23,-26,-31
2023-10-23,-37,-42,-52,-45,-34
2023-10-30,-18,-21,-21,-29,-40
2023-11-06,-59,-56,-55,-33,-27
2023-11-13,-13,-13,-8,-8,-8
2023-11-20,-9,-9,-9,-9,-17
2023-11-27,-28,-30,-21,-24,-38
2023-12-04,-57,-52,-49,-40,-44
2023-12-11,-48,-53,-49,-31,-16
2023-12-18,-6,-6,-6,-6,-6
2023-12-25,-7,-7,-7,-7,-7
2024-01-01,-9,-9,-17,-19,-19
2024-01-08,-10,-10,-10,-10,-10
2024-01-15,-11,-11,-11,-15,-25
2024-01-22,-38,-39,-38,-37,-47
2024-01-29,-49,-50,-46,-39,-28
2024-02-05,-24,-25,-23,-25,-30
2024-02-12,-44,-49,-58,-50,-44
2024-02-19,-42,-41,-41,-46,-46
2024-02-26,-50,-40,-40,-36,-35
2024-03-04,-32,-27,-35,-37,-42
2024-03-11,-28,-29,-34,-39,-40
2024-03-18,-30,-24,-26,-22,-30
2024-03-25,-37,-48,-40,-27,-17
2024-04-01,-19,-22,-25,-28,-32
2024-04-08,-39,-29,-23,-23,-28
2024-04-15,-32,-27,-18,-18,-21
2024-04-22,-34,-30,-38,-31,-26
2024-04-29,-9,-9,-9,-13,-22
2024-05-06,-29,-20,-10,-5,-6
2024-05-13,-13,-19,-24,-24,-32
2024-05-20,-48,-57,-45,-25,-17
2024-05-27,-30,-39,-39,-44,-44
2024-06-03,-40,-30,-30,-22,-12
2024-06-10,-5,-9,-10,-14,-18
2024-06-17,-20,-22,-23,-25,-14
2024-06-24,-9,-14,-14,-10,-5
2024-07-01,0,0,0,0,0
2024-07-08,0,0,0,0,0
2024-07-15,0,0,0,0,0
2024-07-22,0,0,0,0,0
2024-07-29,0,0,0,0,0
2024-08-05,0,0,0,0,0
2024-08-12,0,0,0,0,0
2024-08-19,0,0,0,0,0
2024-08-26,0,0,0,0,0
2024-09-02,0,0,0,0,0
2024-09-09,0,0,0,0,0
2024-09-16,0,0,0,0,0
2024-09-23,0,0,0,0,0
2024-09-30,-4,-5,-5,0,0
2024-10-07,0,0,0,0,0
2024-10-14,0,0,0,0,0
2024-10-21,0,0,0,0,0
2024-10-28,0,0,0,0,0
2024-11-04,0,0,0,0,0
2024-11-11,0,0,0,0,0
2024-11-18,0,0,0,0,0
2024-11-25,0,0,0,0,0
2024-12-02,0,0,0,0,0
2024-12-09,0,0,0,0,0
2024-12-16,0,0,0,0,0
2024-12-23,0,0,0,0,0
2024-12-30,0,0,0,0,0
2025-01-06,0,0,0,0,0
2025-01-13,0,0,0,0,0
2025-01-20,0,0,0,0,0
2025-01-27,0,0,0,0,0
2025-02-03,0,0,0,0,0
2025-02-10,0,0,0,0,0
2025-02-17,0,0,0,0,0
2025-02-24,0,0,0,0,0
2025-03-03,0,0,0,0,0
2025-03-10,0,0,0,0,0
